Year,Portfolio,ISIN,Name,Weight,CI,Contribution
2017,P(vw),US98389B1008,XCEL ENERGY,0.0008592396943024683,4585.562489373536,3.9400973115741826
2018,P(mv)_oos,US8425871071,SOUTHERN,0.12080589402938222,4438.898658330077,536.2451209253901
2018,P(mv)_oos,US3379321074,FIRSTENERGY,0.04293175302470857,2344.966255261468,100.67351212216107
2018,P(mv)_oos,US1258961002,CMS ENERGY,0.005962375772906029,2580.949263253836,15.388589358324335
2018,P(mv)_oos,US6516391066,NEWMONT,0.0414601506485527,239.11268372346217,9.913647889154477
2018,P(mv)_oos,US69331C1080,PG&E,0.03593525104853144,240.18797782316895,8.631215281914677
2018,P(mv)_oos,CA0084741085,AGNICO-EAGLE MNS. (NYS),0.01156695256636595,141.8324038172733,1.6405686873280614
2018,P(mv)_oos,US1713401024,CHURCH & DWIGHT CO.,0.05953253961918127,23.675123139664215,1.4094402063010552
2018,P(mv)_oos,US4278661081,HERSHEY,0.0623492981240875,20.75743943190978,1.2942117794328325
2018,P(mv)_oos,US2371941053,DARDEN RESTAURANTS,0.020078210009439077,49.259982439817065,0.9890522724879282
2018,P(mv)_oos,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,0.020978927373116428,35.02492258810315,0.7347853072248411
2018,P(mv)_oos(0.5),US8425871071,SOUTHERN,0.044150038380755305,4438.898658330077,195.9775461335561
2018,P(mv)_oos(0.5),US3379321074,FIRSTENERGY,0.03394646602780846,2344.966255261468,79.60331732059065
2018,P(mv)_oos(0.5),US2091151041,CONSOLIDATED EDISON,0.04348019532462181,254.96551151001412,11.085950241497525
2018,P(mv)_oos(0.5),US69331C1080,PG&E,0.042264856059656554,240.18797782316895,10.151510309956215
2018,P(mv)_oos(0.5),US6516391066,NEWMONT,0.04129627391509969,239.11268372346217,9.874462883618694
2018,P(mv)_oos(0.5),US1713401024,CHURCH & DWIGHT CO.,0.06688622582621957,23.675123139664215,1.5835396327831373
2018,P(mv)_oos(0.5),CA0084741085,AGNICO-EAGLE MNS. (NYS),0.010245819445734033,141.8324038172733,1.4531892010662206
2018,P(mv)_oos(0.5),US03027X1000,AMERICAN TOWER,0.013294608018043712,108.42689716232238,1.4414930963858121
2018,P(mv)_oos(0.5),US4278661081,HERSHEY,0.06572655306130762,20.75743943190978,1.3643149442382974
2018,P(mv)_oos(0.5),GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,0.02722874354515023,35.02492258810315,0.9536846348402002
2018,P(vw)_oos(0.5),US0231351067,AMAZON.COM,0.0132998269408063,27.99860569192538,0.3723766102864818
2018,P(vw)_oos(0.5),GB0001500809,TULLOW OIL,0.0005499208972678693,543.3089844857911,0.2987769642421212
2018,P(vw)_oos(0.5),US6516391066,NEWMONT,0.0011854928418120708,239.11268372346217,0.28346637494063803
