date,screen_year,investment_year,Rp_mvp,Rp_vw,cum_mvp,cum_vw
2016-06-30,2015,2016,0.06912226740560513,-0.013620761227372082,1.430088895890334,1.0522026052879172
2016-07-29,2015,2016,0.006678334580658262,0.03674407370358325,1.4396395080171738,1.090864815367719
2016-08-31,2015,2016,-0.04358201527626249,0.00207710050077876,1.3768971169864583,1.0931306512220011
2016-09-30,2015,2016,-0.017524248911776348,0.0023066270114044762,1.3527680291824804,1.095652095909104
2016-10-31,2015,2016,-0.02080697205793782,-0.02102440381119558,1.324621022598409,1.0726166638081283
2016-11-30,2015,2016,-0.029677961542493112,0.018191811000669637,1.2853089708313554,1.0921295034322944
2016-12-30,2015,2016,0.031067266435116994,0.03324819018946121,1.3252400070796193,1.1284408328739333
2017-01-31,2016,2017,0.009400797069173992,0.01579079678590859,1.3376983194541257,1.146259812750767
2017-02-28,2016,2017,0.030775930891716666,0.028443221184096167,1.3788672304876113,1.1788631341392777
2017-03-31,2016,2017,-0.0026708319578951775,0.014078036343413779,1.3751845078227305,1.1954592121856011
2017-04-28,2016,2017,0.02549648313615699,0.018220424621078854,1.4102468764355371,1.2172409866488032
2017-05-31,2016,2017,0.022526787859620454,0.026549512591236623,1.442015208650693,1.2495581415504051
2017-06-30,2016,2017,-0.014976871896158333,0.0023736789038601184,1.4204183315984196,1.2525241913501501
2017-07-31,2016,2017,0.011733904437656236,0.022464637797997775,1.4370853845628906,1.2806616936420614
2017-08-31,2016,2017,-0.030309040198370746,0.0024419851774181403,1.3935287058736827,1.2837890505152227
2017-09-29,2016,2017,-0.0044048362268340685,0.028085409051242467,1.387390440146917,1.319844791134449
2017-10-31,2016,2017,0.019158141933168504,0.018948981519019997,1.413970263115973,1.3448545056896306
2017-11-30,2016,2017,0.035469079851000986,0.021944436353023497,1.4641224872853742,1.3743665797938136
2017-12-29,2016,2017,0.003305835783669625,0.013038637368573348,1.4689626357955177,1.3922864472392316
2018-01-31,2017,2018,-0.018817377430491358,0.04951854951058411,1.441320611446464,1.4612304526097626
2018-02-28,2017,2018,-0.07145391477392436,-0.04705500135027539,1.338332611314268,1.3924722516891466
2018-03-30,2017,2018,-0.004055447096666025,-0.017953018479333366,1.33290507421134,1.3674731716226123
2018-04-30,2017,2018,0.009796699348710984,0.012617482306609598,1.3459631444837599,1.384727240170324
2018-05-31,2017,2018,-0.008177734315358948,0.0013511749023878052,1.3349562154899066,1.3865982488638948
2018-06-29,2017,2018,0.028082010256832764,0.00026160309888438116,1.3724444696257168,1.3869609872627053
2018-07-31,2017,2018,0.01740151666801333,0.03849477634390884,1.3963270849398313,1.44035174026511
2018-08-31,2017,2018,0.016524895442210728,0.008992745924063218,1.419401244021589,1.4533044575065965
2018-09-28,2017,2018,-0.005215416342937946,0.006616539253082308,1.4119984755763324,1.4629203034963685
2018-10-31,2017,2018,-0.0027006446292044497,-0.06453623148170361,1.4081851694768222,1.3685089401506427
2018-11-30,2017,2018,0.0023289458462310347,0.011117896230010962,1.4114647564779994,1.3837238805370797
2018-12-31,2017,2018,-0.05679976117989435,-0.07816398564554211,1.3312938953962112,1.2755665070013857
2019-01-31,2018,2019,0.023959291056942948,0.07601880736345282,1.3631907533183405,1.3725335515763966
2019-02-28,2018,2019,0.041054822896202194,0.03326236662472598,1.4191563082695655,1.418187265773668
2019-03-29,2018,2019,0.03937792984199261,0.014722938642309346,1.4750397458114255,1.4390671498709582
2019-04-30,2018,2019,0.019602438459955587,0.037661751867142684,1.5039541216546826,1.4932649397895545
2019-05-31,2018,2019,-0.015070184270333888,-0.06023474533191253,1.4812892559072184,1.403318506428257
2019-06-28,2018,2019,0.03766973139002733,0.07033903461068175,1.5370890242881767,1.5020265754217244
2019-07-31,2018,2019,0.006503753999813263,0.004399477546859856,1.54708587317796,1.508634707615079
2019-08-30,2018,2019,0.03138589697307454,-0.018287796574614233,1.5956425510020225,1.481045102976812
2019-09-30,2018,2019,0.00551141441903841,0.02466315429160365,1.6044367983652463,1.517572346864353
2019-10-31,2018,2019,-0.00949918706966618,0.022177505383570897,1.5891959530761186,1.5512283157568953
2019-11-29,2018,2019,0.008263342759153115,0.029977998892677448,1.6023280239478457,1.5977310364889454
2019-12-31,2018,2019,0.0323380835336022,0.034824210289280094,1.654144241434503,1.653370758089346
2020-01-31,2019,2020,0.01981706729203405,-0.009580265949088526,1.6869245291777413,1.6375310265144039
2020-02-28,2019,2020,-0.08521424840865724,-0.08791498768503252,1.5431745233017322,1.4935675064845315
2020-03-31,2019,2020,-0.09100407119529941,-0.1306650921429245,1.4027393591164092,1.2984103706280523
2020-04-30,2019,2020,0.0871899086095297,0.10751127838896873,1.5250440756407593,1.4380041294477688
2020-05-29,2019,2020,0.02887128880868755,0.041420788752650234,1.5690740635945615,1.4975673947190637
2020-06-30,2019,2020,-0.015508362601551614,0.028543151817833096,1.544740294067647,1.5403126882239668
2020-07-31,2019,2020,0.06496540914859575,0.048835923227980374,1.6450949793000738,1.6155352804131566
2020-08-31,2019,2020,0.020906203089405398,0.06540930795489958,1.6794876690386822,1.721206325081706
2020-09-30,2019,2020,-0.006523690708296309,-0.0379808206390527,1.6685312109374764,1.6558334963659747
2020-10-30,2019,2020,-0.019264204519853414,-0.03589474696672949,1.6363882844422182,1.596397771994883
2020-11-30,2019,2020,0.056880418060653005,0.12839401815392895,1.7294667341708463,1.8013656965132856
2020-12-31,2019,2020,0.021840676327887488,0.03983956548531005,1.7672394573317205,1.873131323142518
2021-01-29,2020,2021,-0.008168933190565861,-0.012124007331862908,1.7528029962730458,1.850421465247196
2021-02-26,2020,2021,-0.017422531936109098,0.02733062300679212,1.722264730092771,1.9009946367175428
2021-03-31,2020,2021,0.08264011378604538,0.045362836077486104,1.8645928833573302,1.9872291448071409
2021-04-30,2020,2021,0.020233137704951606,0.05016847426313768,1.9023194479299719,2.0869253990133547
2021-05-31,2020,2021,0.017227237087272897,0.02015621412882965,1.9350911560751913,2.128989914226761
2021-06-30,2020,2021,-0.010032391085488705,0.009085467039068963,1.9156775648113746,2.148332781918979
2021-07-30,2020,2021,0.03494430895652939,0.018828760216988354,1.982619593497235,2.1887832247360266
2021-08-31,2020,2021,0.00919999214634383,0.02292599245632674,2.0008596781865973,2.2389632524348593
2021-09-30,2020,2021,-0.0625040638447775,-0.04484438196599669,1.8757978171167813,2.13855832913484
2021-10-29,2020,2021,0.03712749860461617,0.06369195815598888,1.9454414979543266,2.2747672967482377
2021-11-30,2020,2021,-0.023934400276725443,-0.014853646443698978,1.8988785224273355,2.2409787075806507
2021-12-31,2020,2021,0.08753959467548622,0.05275242494481136,2.0651055786186108,2.359195768655219
2022-01-31,2021,2022,-0.02165451643937913,-0.04101565747775376,2.0203867159173607,2.2624318030850907
2022-02-28,2021,2022,-0.01489553471534729,-0.024406616537037074,1.9902919754519872,2.2072134976259954
2022-03-31,2021,2022,0.0534293790415229,0.027398419925273344,2.096632039811713,2.2676876598986837
2022-04-29,2021,2022,-0.02699348193103692,-0.07246087523648358,2.0400366407290225,2.103369027299452
2022-05-31,2021,2022,0.010612854355042577,0.005871650263511216,2.06168725247603,2.115719274602856
2022-06-30,2021,2022,-0.04616698720302063,-0.08596805176643896,1.9665053634743384,1.9338350104805448
2022-07-29,2021,2022,0.03397614720415364,0.0791968143384874,2.0333196391815,2.0869885827668395
2022-08-31,2021,2022,-0.026599531601659045,-0.043327711308307724,1.9792342891828174,1.9965641439489836
2022-09-30,2021,2022,-0.0863839039415103,-0.09169976227284635,1.8082603044683054,1.8134796865863727
2022-10-31,2021,2022,0.061363442356958176,0.0860032688421264,1.919221381427922,1.9694448676115957
2022-11-30,2021,2022,0.05971026618276329,0.07019817439074509,2.033818600976634,2.1076963018811523
2022-12-30,2021,2022,-0.021793261404602818,-0.04196388752670811,1.9894950605560067,2.019249171328553
2023-01-31,2022,2023,0.020704060185569896,0.06616089743523373,2.030685686028652,2.152844508649002
2023-02-28,2022,2023,-0.006166180580038923,-0.022394318032224005,2.0181641113872995,2.1046330240483893
2023-03-31,2022,2023,0.027389543937490636,0.031225809897913227,2.0734407059892086,2.1703518947621947
2023-04-28,2022,2023,0.027974202407038296,0.026442550034766234,2.131443555977543,2.2277415333324937
2023-05-31,2022,2023,-0.04139449352757474,-0.01825027086054791,2.04321352949524,2.1870846469418836
2023-06-30,2022,2023,0.017440953781925006,0.06093188600225958,2.0788491222297703,2.320347839326639
2023-07-31,2022,2023,0.001984417243571333,0.02908359623678112,2.082974426274706,2.387831899014502
2023-08-31,2022,2023,-0.02091256470718866,-0.02253641802697806,2.039414088801817,2.3340187211601586
2023-09-29,2022,2023,-0.04444592142583933,-0.04645542708300805,1.9487704504561816,2.225590884648927
2023-10-31,2022,2023,-0.01001168410930213,-0.02171054624420316,1.929259976304672,2.1772720908270795
2023-11-30,2022,2023,0.03402078980750031,0.09051414707262977,1.9948949244425562,2.374346017073334
2023-12-29,2022,2023,0.021297967474007216,0.04513240680873796,2.037382131657396,2.481505967420594
2024-01-31,2023,2024,-0.0015689180392110362,0.012454187462387786,2.0341856460782726,2.512411107927884
2024-02-29,2023,2024,0.021674109965586993,0.03901825082531516,2.0782748094617918,2.6104409947133225
2024-03-29,2023,2024,0.02756217164945112,0.03637442820614259,2.135556576494908,2.705394293261894
2024-04-30,2023,2024,0.006871571422200166,-0.03609511822437325,2.150231206036442,2.607742766403061
2024-05-31,2023,2024,0.02063052373519223,0.05159895294222035,2.1945916019687277,2.742299562692108
2024-06-28,2023,2024,-0.009181026838669743,0.016734001895278305,2.1744429975711337,2.788189208771619
2024-07-31,2023,2024,0.03156813801582703,0.016388862361755192,2.2430861142260077,2.8338844579527085
2024-08-30,2023,2024,0.05468501604113793,0.02662711852757174,2.3657493143641104,2.9093426353080587
2024-09-30,2023,2024,0.0023741612831302537,0.014913677920890711,2.3713659847918658,2.9527316343325585
2024-10-31,2023,2024,-0.04278794370266824,-0.022302156587268737,2.269900110536169,2.8868793510634916
2024-11-29,2023,2024,0.0046337109494719985,0.041542120527159644,2.280418171532568,3.0068064410127393
2024-12-31,2023,2024,-0.03606549568519616,-0.03216767101109501,2.1981737598067177,2.9100844806242003
2025-01-31,2024,2025,0.0001009992039171419,0.03074400383563205,2.1983957736065296,2.9995521290585243
2025-02-28,2024,2025,0.022070893483427303,0.005356171982461916,2.246916332560216,3.0156182461321217
2025-03-31,2024,2025,0.017016636281710257,-0.03936065747103387,2.285151290546828,2.8969215292827153
2025-04-30,2024,2025,0.044073241697248994,-0.00037125124326972507,2.3858653156898786,2.895846043563314
2025-05-30,2024,2025,-0.02072571618966195,0.05049871444190141,2.3364165482901322,3.0420825459849277
2025-06-30,2024,2025,-0.005926300863878211,0.04368409960101303,2.322570240881621,3.1749731829182366
2025-07-31,2024,2025,-0.004362742000831157,0.01704349688554994,2.312437466141846,3.2290858284730084
2025-08-29,2024,2025,0.007616716488722515,0.023764196892857657,2.3300506467193483,3.3058224598847774
2025-09-30,2024,2025,0.004537175435804957,0.02752594267972976,2.3406224952778247,3.396818339424929
2025-10-31,2024,2025,-0.01457221811702736,0.02345311271306457,2.3065144337470156,3.4764843028052668
2025-11-28,2024,2025,0.05362985210647726,0.007211569097595313,2.4302124617103233,3.5015552095716527
2025-12-31,2024,2025,0.0026202951689670573,0.014579499810623104,2.4365803356833067,3.5526061330864884
