screen_year,investment_year,ISIN,weight
2019,2020,US5398301094,0.03682892124669718
2019,2020,US5502411037,0.003060714314613924
2019,2020,US55261F1049,0.013988251504820472
2019,2020,US5797802064,0.014558705275779932
2019,2020,US5801351017,0.0681524504553989
2019,2020,US58933Y1055,0.006751937749957845
2019,2020,US6516391066,0.012099961717819917
2019,2020,US7427181091,0.01717609709359675
2019,2020,US8425871071,0.029563093131231497
2019,2020,US8725401090,0.008708393482754023
2019,2020,US87612E1064,0.011806912693573339
2019,2020,US91324P1021,0.01227684750104606
2019,2020,US9311421039,0.008873805349248271
2020,2021,BE0003735496,0.0048124314871426715
2020,2021,CA2918434077,0.04626971985297694
2020,2021,CA5394811015,0.03805283428127019
2020,2021,CA59162N1096,0.003983701542962863
2020,2021,DE0007042301,0.051012476715283965
2020,2021,FR0000120560,0.01884625007666092
2020,2021,GB0006776081,0.011119459486757913
2020,2021,GB0008794710,0.009056026407033794
2020,2021,GB0009067447,0.0031129338899945954
2020,2021,GB00B3CX3644,0.010412306688392983
2020,2021,GB00B3DGH821,0.0036062625734020657
2020,2021,GB00BYRJ5J14,0.1274248349051157
2020,2021,IE0004927939,0.0027086799294508915
2020,2021,IE00BWT6H894,0.025570591403111357
2020,2021,NL0009432491,0.03181723571618871
2020,2021,NL0010583399,0.005485055032494775
2020,2021,US00971T1016,0.00475913175836403
2020,2021,US03027X1000,0.009351366977144573
2020,2021,US03073E1055,0.01290682442095845
2020,2021,US1255231003,0.014460723094045528
2020,2021,US12572Q1058,0.055564545971606503
2020,2021,US1890541097,0.05246956963315714
2020,2021,US2091151041,0.00989467265481749
2020,2021,US22822V1017,0.029176247878718857
2020,2021,US25746U1097,0.04714881670171688
2020,2021,US26441C2044,0.05054260093340819
2020,2021,US3029411093,0.03646002909099407
2020,2021,US3379321074,0.05237572934981488
2020,2021,US4198701009,0.04647978509926322
2020,2021,US4404521001,0.0381396455927414
2020,2021,US5324571083,0.0013576651653589935
2020,2021,US6200763075,0.003872251030812535
2020,2021,US6516391066,0.02936798365506257
2020,2021,US65473P1057,0.024466558800723803
2020,2021,US7433151039,0.0060306006468430675
2020,2021,US74762E1029,0.006051469968909056
2020,2021,US75886F1075,0.015846827663303968
2020,2021,US7607591002,0.009304916776375629
2020,2021,US8326964058,0.02208878804829068
2020,2021,US9311421039,0.028592449099328152
2021,2022,BE0003735496,0.010967530235553748
2021,2022,BE0003822393,0.010018494192153608
2021,2022,CA05534B7604,0.00280244572707184
2021,2022,CA2918434077,0.03477677005105926
2021,2022,CA5394811015,0.007445108241971773
2021,2022,CA59162N1096,0.03659567919541433
2021,2022,CH0008742519,0.014466031517547053
2021,2022,DE0007042301,0.07630934953654929
2021,2022,ES0112501012,0.025776410020347255
2021,2022,FR0000054470,0.010364228668999999
